"Source:","C:\Users\neilbetham\code\kicad-stuff\weir-controller\weir-controller.sch"
"Date:","1/3/2021 23:35:48"
"Tool:","Eeschema (5.1.8)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"","","C2","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C3","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C4","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C5","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C6","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C7","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C8","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C9","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C10","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C11","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C12","10uf","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","D1","LED_ABGR","Custom:LED_ABGR","LED_SMD:LED_Cree-PLCC4_2x2mm_CW","~"
"","","J1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","custom-parts:PhoenixContact_PTSA_2Pin","~"
"","","J2","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","custom-parts:PhoenixContact PTSA 4Pin","~"
"","","J3","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","custom-parts:PhoenixContact PTSA 4Pin","~"
"","","J4","USB_B_Mini","Connector:USB_B_Mini","Custom:54819-0589","~"
"","","J5","Wurth_74980104400","Custom:Wurth_74980104400","Custom:Wurth_74980104400",""
"","","J6","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","custom-parts:PhoenixContact_PTSA_2PIN_8A","~"
